"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
8500,"1MU2","small_airport","Smitty's Landing Airport",39.4473991394043,-94.66719818115234,800,"NA","US","US-MO","Ridgely","no","1MU2",,"1MU2",,,
8501,"1MU3","heliport","Putnam County Memorial Hospital Heliport",40.48270034790039,-93.00589752197266,1060,"NA","US","US-MO","Unionville","no","1MU3",,"1MU3",,,
8502,"1MU4","small_airport","Short Air Airport",38.65169906616211,-93.77880096435547,840,"NA","US","US-MO","Warrensburg","no","1MU4",,"1MU4",,,
8503,"1MU5","heliport","Grace G Shepard Memorial Heliport",37.524200439453125,-93.14320373535156,1152,"NA","US","US-MO","Buffalo","no","1MU5",,"1MU5",,,
8504,"1MU6","small_airport","Simerly Airport",40.110801696777344,-94.96890258789062,971,"NA","US","US-MO","Fillmore","no","1MU6",,"1MU6",,,
8505,"1MU7","small_airport","Mooseberry Airport",37.465301513671875,-89.61199951171875,480,"NA","US","US-MO","Jackson","no","1MU7",,"1MU7",,,
8506,"1MU8","small_airport","Church's Landing Airport",39.55419921875,-94.99859619140625,826,"NA","US","US-MO","Rushville","no","1MU8",,"1MU8",,,
8507,"1MU9","heliport","Nielsens Medical Evac Heliport",38.935298919677734,-90.47650146484375,425,"NA","US","US-MO","Saint Charles","no","1MU9",,"1MU9",,,
8508,"1MY1","small_airport","Carlson Agricultural Airport",45.98529815673828,-96.19439697265625,1033,"NA","US","US-MN","Wendell","no","1MY1",,"1MY1",,,
8509,"1N2","small_airport","Spadaro Airport",40.82789993286133,-72.74870300292969,50,"NA","US","US-NY","East Moriches","no","1N2",,"1N2",,"http://en.wikipedia.org/wiki/Spadaro_Airport",
8510,"1N3","small_airport","Albert Airport",40.971500396728516,-78.2428970336914,1784,"NA","US","US-PA","Philipsburg","no","1N3",,"1N3",,,
8511,"1N5","small_airport","Bennett Airport",38.41270065307617,-75.61689758300781,42,"NA","US","US-MD","Salisbury","no","1N5",,"1N5",,,
8512,"1NA0","small_airport","Bohn Airstrip",48.732200622558594,-97.8895034790039,1142,"NA","US","US-ND","Mountain","no","1NA0",,"1NA0",,,
8513,"1NA5","small_airport","Gienger/Box Bar Ranch Airport",46.625,-99.45040130615234,1950,"NA","US","US-ND","Streeter","no","1NA5",,"1NA5",,,
8514,"1NA8","small_airport","Preszler Airstrip",46.69049835205078,-100.09500122070312,1795,"NA","US","US-ND","Braddock","no","1NA8",,"1NA8",,,
8515,"1NA9","small_airport","Myran Airstrip",47.03329849243164,-102.49600219726562,2120,"NA","US","US-ND","Taylor","no","1NA9",,"1NA9",,,
8516,"1NC0","small_airport","Delk's Airport",35.72209930419922,-79.94139862060547,460,"NA","US","US-NC","Asheboro","no","1NC0",,"1NC0",,,
8517,"1NC1","small_airport","Ron's Ultralight Field",35.8119010925293,-79.23860168457031,525,"NA","US","US-NC","Pittsboro","no","1NC1",,"1NC1",,,
8518,"1NC2","small_airport","Atwell Airport",35.654701232910156,-80.78939819335938,830,"NA","US","US-NC","Mooresville","no","1NC2",,"1NC2",,,
8519,"1NC3","small_airport","Fletcher's Airport",36.18069839477539,-76.14910125732422,7,"NA","US","US-NC","Elizabeth City","no","1NC3",,"1NC3",,,
8520,"1NC4","small_airport","Bell Strip",34.995399475097656,-77.25769805908203,35,"NA","US","US-NC","Pollocksville","no","1NC4",,"1NC4",,,
8521,"1NC5","small_airport","Riley Field",35.93320083618164,-78.34860229492188,360,"NA","US","US-NC","Bunn","no","1NC5",,"1NC5",,,
8522,"1NC6","small_airport","Arant Airport",35.055999755859375,-80.45010375976562,535,"NA","US","US-NC","Wingate","no","1NC6",,"1NC6",,,
8524,"1NC8","small_airport","Lonesome Field",35.51580047607422,-80.25810241699219,665,"NA","US","US-NC","Richfield","no","1NC8",,"1NC8",,,
8525,"1NC9","small_airport","Northbrook International Ultraport Ultralightport",35.44969940185547,-81.42639923095703,1030,"NA","US","US-NC","Cherryville","no","1NC9",,"1NC9",,,
8526,"1ND3","small_airport","Andvik Airport",46.647701263427734,-97.13059997558594,980,"NA","US","US-ND","Kindred","no","1ND3",,"1ND3",,,
8527,"1ND4","small_airport","Walkinshaw Airport",47.05830001831055,-97.01699829101562,900,"NA","US","US-ND","Argusville","no","1ND4",,"1ND4",,,
8528,"1ND7","small_airport","Dittmer Airport",46.8291015625,-97.26699829101562,943,"NA","US","US-ND","Lynchburg","no","1ND7",,"1ND7",,,
8529,"1NE0","small_airport","Higgins Bros Airport",42.31669998168945,-100.41699981689453,2860,"NA","US","US-NE","Brownlee","no","1NE0",,"1NE0",,,
8530,"1NE1","small_airport","Paul Ridder Ranch Airport",41.28329849,-100.0500031,2780,"NA","US","US-NE","Callaway","no","1NE1",,"1NE1",,,
8531,"1NE2","small_airport","Witthuhn Airport",41.32500076293945,-99.91709899902344,2700,"NA","US","US-NE","Callaway","no","1NE2",,"1NE2",,,
8532,"1NE5","small_airport","Sibbernsen Airport",41.40610122680664,-96.28559875488281,1280,"NA","US","US-NE","Washington","no","1NE5",,"1NE5",,,
8533,"1NE6","small_airport","Miller Airstrip",41.34080123901367,-102.77799987792969,4100,"NA","US","US-NE","Dalton","no","1NE6",,"1NE6",,,
8534,"1NJ0","heliport","Jersey Turnpike Heliport",40.47679901123047,-74.40879821777344,102,"NA","US","US-NJ","New Brunswick","no","1NJ0",,"1NJ0",,,
8535,"1NJ1","heliport","Rutger's Helistop Sec. A & B Heliport",40.47930145263672,-74.43460083007812,116,"NA","US","US-NJ","New Brunswick","no","1NJ1",,"1NJ1",,,
8536,"1NJ2","heliport","New Brunswick Gas Distn Heliport",40.4739990234375,-74.48400115966797,114,"NA","US","US-NJ","New Brunswick","no","1NJ2",,"1NJ2",,,
8537,"1NJ3","seaplane_base","Sea Air Atlantic City Seaplane Base",39.390499114990234,-74.42900085449219,,"NA","US","US-NJ","Atlantic City","no","1NJ3",,"1NJ3",,,
8538,"1NJ4","heliport","Rutgers Helistop Nr 1 Heliport",40.51679992675781,-74.46630096435547,85,"NA","US","US-NJ","New Brunswick","no","1NJ4",,"1NJ4",,,
8539,"1NJ5","heliport","Milana Heliport",40.95199966430664,-75.91850280761719,700,"NA","US","US-NJ","Blairstown","no","1NJ5",,"1NJ5",,,
8540,"1NJ6","heliport","Idylease Helistop",41.054298400878906,-74.4301986694336,525,"NA","US","US-NJ","Newfoundland","no","1NJ6",,"1NJ6",,,
8541,"1NJ7","heliport","Skytop Farms Heliport",40.94729995727539,-74.35430145263672,850,"NA","US","US-NJ","Towaco","no","1NJ7",,"1NJ7",,,
